Emotion,Text
371,surprise,@dragons1lk Danny is all excited and is going to pop in tomorrow when he is passing to score some more. Christmas budgeting is FUN 
372,joy,Simplicity would make our lives so much better. Complicity would suck joy out of your life. 
373,joy,Enjoy your Friday morning people! 
374,anger,"They left behind them broken glass , tyre marks on the road and another exasperated shop owner . "
375,neutral,"I want to improve my handwriting , and I've practiced it for several weeks , but nothing happened . You see , my handwriting is still bad . "
376,joy,@lizfits Pssssh. We're looking at the first snow today.  Maybe a sheet of ice too. 
377,sadness,"Well, I just cut Jay Cutler from my fantasy team "
378,surprise,The awkward moment when you're on a date and you look down and realize your pants aren't zipped. 
379,sadness,"@NextActPub She is one of the most attractive people I have met this year, but that mo takes it all away. @MovemberEdm"
380,anger,"He looked away , a bitter anger in his eyes . "
381,surprise,"Almost finished! Just bought the presents, i'll finish the poem tonight, and then i have to finish the , but when? #OOPS!"
382,anger,I hate people with really shit taste in music! Seriously shut up!! 
383,surprise,Despite me liking her appearances on the GREAT INDIAN COMEDY SHOW always... despite that. PURBI JOSHI - DAMADAMM  
384,fear,"This year I don't intend to drive in the snow, and ESPECIALLY not on the motorway. RESPECT mother nature "
385,neutral, Certainly ! 
386,anger,"OFFA release details of new Access Agreements - Lots of new fee waivers (£37m)... great for Treasury, not so great for students "
387,fear,"sometime I don't even have to talk to my kids, I give them certain looks and they know exactly what to do..... "
388,anger," No , don't , I don't want to see you anymore . Don't ever call me again . "
389,sadness,You know ... I did very poorly on that test . 
390,neutral, OK . Bye ! 
391,surprise,Guess I forgot to check the weather for today...I had no idea it was supposed to snow #wherearemyuggs
392,neutral, What for ? 
393,neutral, You bet it . 
394,anger,@DetroitLionsNFL Horrible PI call...again.  Why do the Lions even show up? Refs already decided what will happen. 
395,joy,"Right peeps i'm off, got my sister's ice skating show to go to "
396,sadness," Sorry , I don ’ t know the rule about punching . "
397,joy,"Riot police were needed to quell pitch invasions. -- More than 200,000 ecstatic Leeds United fans took part in a carnival-style street party yesterday as their team paraded the League Championship trophy . "
398,joy,When I got engaged to a boy of my choice.
399,surprise,"Despite a few exggerations, there was something very smooth about it-black humour and crazy sub-plots. MY FRIEND PINTO  "
400,sadness,Determinedly she put her worries and the root cause of her despondency behind her and tried to think more cheerfully . 
401,joy,Slice of life. Azumanga Daioh a good relax tool for busy and stressful days. 
402,sadness,"There must be another reason why you are so sad , "" he said , looking kindly at me . "
403,sadness,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days."
404,joy,"Henry Tyler would not have described her as a happy woman , but afterward he could not say that she had seemed at all unwell . "
405,sadness,Totally just woke up and thought it was Christmas morning.  
406,joy, It's nice of you to say so . 
407,sadness,@seturego2thside You left?? Are you gonna be back around Christmas cause I may have a birthday party
408,anger," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
409,anger,"I've a situation of responsibility an employee who had a habit of being late, came late again after promising to say he would be at work in a few minutes, then arrived 3 hours later. He had been drinking."
410,anger,Dear God make the person Who's On my mind Die (Ameen) 
411,surprise,"I found a idea which'd require me to draw 24 different pictures in the next few days. :D Oh boy, that'll be fun.  "
412,joy,The thought of waking up to go to work tomorrow makes me feel SICK 
413,joy, Have you ever been to America ? 
414,joy,Silver lining today though I am working was a yummy dinner followed by ice-cream at Lakeview 
415,surprise,is it bad that i check twitter on a seconds basis? you just never know what people have to say #whatshespregnant?!?!?
416,fear,I found a problem in homework which would not get solved although I tried my best.
417,joy,computer magically broke getting readyyy
418,fear,I'm so afraid of viruses now. why did he have to watch this video?! 
419,joy,Love is the highest vibration in the Universe. It sends shivers of up my spine! #Quote for #love #peace and #joy
420,neutral,So the company decided to cancel your trip to Hong Kong ? 
421,surprise,Trois jeunes engagés politiquement à gauche pour le  Globalement d'accord sur les questions économiques. 
422,surprise,It feels good to be back @ school. 
423,surprise,This sweet lady at the market complimented me on my outfit and said you're so cute you probably have a g/f.  
424,fear,"You know that scary realization you are not going to make it until your next paycheck? Yeah, that. Payday is a painful 13 days away. "
425,sadness,"Bathsheba was watching his expression closely , and she had never been more miserable . "
426,surprise, you break into @ashtoncaldwell2's house when she's out of town to get your birthday cake &amp
427,joy,had the same headache for three days straight 
428,joy,"k im really not up for any homework, i really dont want to do it during my spare... this is when i start to have a debate with myself! "
429,sadness,Today I wrote a &quot
430,sadness,"When you learn that your computer is broken until March, you are going to be depressed.   "
431,disgust,@StevenLazar0ff ew I hate chapel hill mall. 
432,neutral, here we go . 
433,joy,@TheBodyShopUK The fact I get to spend another Christmas with my 90yr old Nana brings me :)
434,joy,"When things go well, we're elated...When hardships come, we're depressed... for true that transcends the wave of circumstance!"
435,sadness,"McColgan , slumped in deep dejection , said afterwards : ` It was just a bad race on my part . "
436,surprise,@C_evon Yeah yeah lol. &amp
437,joy,Just shit my pants. Pure gravy 100% 
438,joy,Where there is there is #creation. Where there is no joy there is no creation. Know the nature of joy.
439,sadness,My cell phone has low battery I don't know where my charger is 
440,surprise, is finally done and dusted so I can concentrate my my xmas card design. First I sleep.
441,sadness,"i already got all my christmas presents, so i have nothing to open... "
442,fear,The only song I can really really like of his RT @CBake_OneSeven: Drake be writing that real 
443,sadness,When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.
444,joy,I would give anything for a nap. Its one of those 6am-9pm days. 
445,joy,"@TheBodyShopUK A relaxing, hot bubble bath complete with pamper session brings me "
446,surprise,I love a good surprise in the morning!! 
447,anger,"He was on his feet , the chair toppling over behind him , his face livid , his knuckles white-ridged and aimed at her . "
448,fear,That if ever I was really naughty I would be sent away from my Mum and Dad to another family. I was fostered from age 5 and didn't get to Mum and Dad until I was 6 and then legally adopted at 14.
449,disgust,Facebook me.I hate how whatever u say or do there u get judged by ppl who r suppose to be ur &quot
450,anger,I thought him a good friend but he tried to lie to me several times. Last time was the height of impudence. He promised he would come home but he didn't. I felt a sense of anger and insult.
451,joy,Sitting next to a room full of personal growth and laughter... 
452,joy,At home  with 10 year olds who have had too much mountain dew.. 
453,sadness, We got lost coming back . I guess I don't really know this town yet . 
454,anger,I'm not even sure the words to express how I feel about the  game... Like I'm speechless #lordhelpme
455,sadness,"A heartbroken Daniels watched this all going on , and was moved to break the golden rule of not speaking until spoken to . "
456,sadness,Wishes @zorgill23 was here to watch friends with me! Late night rerun tradition. 
457,joy,Going to bed..(: getting Christmas pictures made tomorrow. 
458,surprise,nog stukje van gedicht maken nog steeds hahaha 
459,sadness,Ando out with a Knee Injury till Feb. :/ #mufc
460,surprise,"Mind-blowing information is coming to you mind-blowingly soon.... that's right, our NOLA New Years details are coming TONIGHT! "
461,joy,4 hour car ride 
462,joy,E domani parodia di Breaking Dawn. Grazie degli spoiler Gu. 
463,surprise,"@jas_faz I'm doing my usual bit of stalking.. Road works just woke me up, and its quite sunny in bodmin whatsapp me please babe"
